procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 3  0 1070592 1738456  81952 4039004    0    0     0     2 5300 5149 80  5 15  0  0  0
 8  0 1070592 1633396  81960 4044440    0    0   190    68 4737 3831 80  5 15  0  0  0
 0  0 1070592 1622096  81976 4061332    0    0  8085    66 2323 4069  7  3 89  1  0  0
 0  0 1070592 1622148  81976 4061296    0    0     0     0 1957 2749  3  3 94  0  0  0
 0  0 1070592 1683664  81984 4061420    0    0   539    48 2862 4488  7  5 88  0  0  0
 6  1 1070592 1687676  81984 4067216    0    0   317    16 4412 8633 14  6 78  1  0  0
 0  0 1070592 1697064  82172 4063856    0    0   822    84 3350 5969  7  4 89  1  0  0
 0  0 1070592 1703860  82180 4064752    0    0    79    86 2794 5203  6  4 90  1  0  0
 0  0 1070592 1703088  82204 4064820    0    0   148    84 2054 2990  5  3 92  0  0  0
 0  0 1070592 1707560  82220 4064452    0    0   529    42 4466 9151 11  7 81  1  0  0
 0  0 1070592 1699080  82220 4071448    8    0     8    12 3691 6104  8  5 86  1  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 0  0 1070592 1693360  82256 4063140    0    0    58  1722 3290 4799 12  4 84  0  0  0
