procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 5  0 932096 4043096 116168 5069968    0    0     0    82 4383 3257 76  3 21  0  0  0
 5  0 932096 4044356 116168 5069980    0    0     0     0 4568 3565 77  3 20  0  0  0
 3  0 932096 4042092 116168 5069944    0    0     0    76 4185 2024 76  2 22  0  0  0
 3  0 932096 4043752 116184 5069952    0    0     0    40 4271 2311 75  3 22  0  0  0
 3  0 932096 4040908 116200 5069948    0    0     0    36 4439 2589 76  2 22  0  0  0
 3  0 932096 4041604 116200 5069952    0    0     0     0 4139 1988 76  2 23  0  0  0
 4  0 932096 4042500 116200 5069956    0    0     0    70 4092 1911 76  2 22  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 4  0 932096 4043000 116208 5069956    0    0     0    22 6428 6165 79  6 15  0  0  0
 3  0 932096 4042708 116216 5069980    0    0     0    46 5647 4825 77  5 18  0  0  0
 5  0 932096 4042844 116232 5069972    0    0     0    44 5563 4542 77  7 17  0  0  0
 3  0 932096 4018356 117136 5070096    0    0   506   154 5178 7307 83 11  6  0  0  0
11  0 932096 4024468 117156 5070176    0    0     0   104 5004 4479 78  3 18  0  0  0
 3  0 932096 4023664 117156 5070184    0    0     0    10 4640 3205 76  3 20  0  0  0
 3  0 932096 4024012 117156 5070212    0    0     0     0 4383 3048 77  3 20  0  0  0
 3  0 932096 4022744 117164 5070240    0    0     0    40 4536 3311 77  2 20  0  0  0
 3  0 932096 4023672 117180 5070196    0    0     0   194 4436 2347 77  2 21  0  0  0
 3  0 932096 4026624 117180 5070196    0    0     0     0 4295 2181 76  2 22  0  0  0
 3  0 932096 4027620 117188 5070188    0    0     0    48 4107 1835 76  2 23  0  0  0
 4  0 932096 4029732 117332 5070208    0    0    70    20 4680 3112 77  4 19  0  0  0
 3  0 932096 4034628 117352 5070200    0    0     0    76 4062 1973 78  2 20  0  0  0
 3  0 932096 4032456 117352 5070240    0    0     0     0 4486 3156 77  3 20  0  0  0
 3  0 932096 4034192 117352 5070252    0    0     0     0 4802 4267 80  3 17  0  0  0
 3  0 932096 4032748 117360 5070256    0    0     0    22 4803 3465 79  3 18  0  0  0
